window,metric,valid_samples,mean,median,win_rate,std,best,worst,max_drawdown,max_consecutive_failures,ci_low,ci_high,effect_size,significance,trading_meaning
20,159567绝对收益,20,-0.00718800,-0.01149577,0.25000000,0.02127611,0.04212168,-0.03753754,-0.14825581,7,-0.01651267,0.00213666,-0.33784390,not_significant,实际交易意义不足
20,159567相对159557超额,20,-0.00090401,-0.00126094,0.45000000,0.00629271,0.00943363,-0.01282679,-0.03121509,3,-0.00366191,0.00185389,-0.14365955,not_significant,实际交易意义不足
20,159567相对TECH_GROWTH_CORE超额,20,-0.01179636,-0.01826146,0.40000000,0.04104899,0.09258512,-0.07045144,-0.22207891,4,-0.02978687,0.00619415,-0.28737276,not_significant,实际交易意义不足
20,159567相对AI_CORE超额,20,-0.01330677,-0.01074729,0.30000000,0.03304997,0.05395890,-0.07038414,-0.23438598,5,-0.02779156,0.00117802,-0.40262571,not_significant,实际交易意义不足
20,589720绝对收益,20,-0.00641409,-0.00908221,0.30000000,0.02136382,0.04010695,-0.04057592,-0.16228571,6,-0.01577720,0.00294902,-0.30023136,not_significant,实际交易意义不足
20,589720相对医疗宽基超额,20,-0.00194855,-0.00334449,0.35000000,0.01513566,0.02905385,-0.02482955,-0.08130751,6,-0.00858205,0.00468494,-0.12873925,not_significant,实际交易意义不足
20,S1后续变化,20,0.00090000,0.00000000,0.35000000,0.07777559,0.17400000,-0.17400000,-0.30526323,6,-0.03318665,0.03498665,0.01157175,not_significant,实际交易意义不足
20,创新药量能变化,0,,,,,,,,,,,,not_significant,missing
20,创新药广度变化,20,0.25333333,0.26666667,1.00000000,0.09817040,0.46666667,0.06666667,0.00000000,0,0.21030826,0.29635841,2.58054709,significant,可能具有实际交易意义
60,159567绝对收益,60,-0.00285907,-0.00503726,0.33333333,0.02287490,0.07304117,-0.04981320,-0.28710462,7,-0.00864722,0.00292908,-0.12498720,not_significant,实际交易意义不足
60,159567相对159557超额,60,-0.00001550,0.00049821,0.51666667,0.01099215,0.04044804,-0.05532130,-0.06226925,3,-0.00279690,0.00276590,-0.00140979,not_significant,实际交易意义不足
60,159567相对TECH_GROWTH_CORE超额,60,-0.00950402,-0.00942621,0.36666667,0.03336006,0.09258512,-0.07045144,-0.53883494,7,-0.01794528,-0.00106276,-0.28489207,significant,实际交易意义不足
60,159567相对AI_CORE超额,60,-0.00719512,-0.01064464,0.26666667,0.04951909,0.30833982,-0.07059397,-0.56967949,9,-0.01972518,0.00533494,-0.14529993,not_significant,实际交易意义不足
60,589720绝对收益,60,-0.00069012,-0.00381112,0.41666667,0.02334498,0.07420091,-0.04358354,-0.24897541,6,-0.00659722,0.00521697,-0.02956199,not_significant,实际交易意义不足
60,589720相对医疗宽基超额,60,0.00082725,-0.00073751,0.46666667,0.01681069,0.04086758,-0.03613140,-0.13612479,6,-0.00342645,0.00508094,0.04920956,not_significant,实际交易意义不足
60,S1后续变化,60,0.00180000,0.00000000,0.40000000,0.07244186,0.18000000,-0.17400000,-0.34958069,6,-0.01653032,0.02013032,0.02484751,not_significant,实际交易意义不足
60,创新药量能变化,0,,,,,,,,,,,,not_significant,missing
60,创新药广度变化,60,0.45555556,0.40000000,1.00000000,0.21371670,0.80000000,0.06666667,0.00000000,0,0.40147777,0.50963334,2.13158615,significant,可能具有实际交易意义
